video_id,participant_id,duration_sec,duration_min,fps,resolution,train_actions,validation_actions,test_timestamps,labelled_actions,unique_verb_labels,unique_noun_labels,unique_verb_classes,unique_noun_classes,actions_per_min,labelled_action_coverage
P02_120,P02,738.420,12.307,50.000,1920x1080,221,0,0,221,46,60,27,43,17.957,0.876
P02_121,P02,393.120,6.552,50.000,1920x1080,99,0,0,99,31,20,27,14,15.110,0.932
P02_122,P02,767.300,12.788,50.000,1920x1080,214,0,0,214,44,65,28,40,16.734,0.790
P02_123,P02,1398.340,23.306,50.000,1920x1080,473,0,0,473,56,71,34,53,20.295,0.840
P02_124,P02,231.840,3.864,50.000,1920x1080,93,0,0,93,17,34,16,26,24.068,0.757
P02_125,P02,656.440,10.941,50.000,1920x1080,0,0,292,0,0,0,0,0,0.000,0.000
P02_126,P02,148.720,2.479,50.000,1920x1080,60,0,0,60,24,22,17,17,24.207,0.778
P02_127,P02,26.340,0.439,50.000,1920x1080,11,0,0,11,7,4,6,4,25.057,0.703
P02_128,P02,135.240,2.254,50.000,1920x1080,63,0,0,63,21,23,15,17,27.950,0.703
P02_129,P02,1113.340,18.556,50.000,1920x1080,494,0,0,494,62,85,39,57,26.623,0.777
P02_13,P02,29.513,0.492,59.940,1920x1080,0,14,0,14,7,4,7,4,28.462,0.833
P02_130,P02,1083.460,18.058,50.000,1920x1080,331,0,0,331,61,58,35,38,18.330,0.816
P02_131,P02,674.900,11.248,50.000,1920x1080,273,0,0,273,36,39,25,31,24.270,0.885
P02_132,P02,227.080,3.785,50.000,1920x1080,89,0,0,89,18,24,16,18,23.516,0.782
P02_133,P02,80.440,1.341,50.000,1920x1080,34,0,0,34,13,12,11,10,25.361,0.680
P02_134,P02,26.920,0.449,50.000,1920x1080,14,0,0,14,8,7,6,7,31.204,0.680
P02_135,P02,261.180,4.353,50.000,1920x1080,116,0,0,116,28,33,22,23,26.648,0.696
P02_136,P02,391.860,6.531,50.000,1920x1080,0,0,208,0,0,0,0,0,0.000,0.000
P02_137,P02,1166.420,19.440,50.000,1920x1080,0,0,396,0,0,0,0,0,0.000,0.000
P02_14,P02,32.199,0.537,59.940,1920x1080,0,14,0,14,11,6,9,5,26.088,0.950
P02_15,P02,94.027,1.567,59.940,1920x1080,0,50,0,50,14,8,9,8,31.906,0.769
P03_02,P03,426.610,7.110,59.940,1920x1080,137,0,0,137,29,24,17,21,19.268,0.752
P03_03,P03,70.988,1.183,59.940,1920x1080,24,0,0,24,13,9,9,9,20.285,0.559
P03_04,P03,1670.755,27.846,59.940,1920x1080,361,0,0,361,41,56,27,49,12.964,0.757
P03_05,P03,224.324,3.739,59.940,1920x1080,66,0,0,66,16,17,15,16,17.653,0.747
P03_06,P03,109.126,1.819,59.940,1920x1080,32,0,0,32,10,13,8,13,17.594,1.018
P03_07,P03,107.207,1.787,59.940,1920x1080,48,0,0,48,14,16,12,16,26.864,0.720
P03_08,P03,29.429,0.490,59.940,1920x1080,9,0,0,9,6,5,6,5,18.349,0.431
P03_09,P03,626.042,10.434,59.940,1920x1080,180,0,0,180,24,35,17,33,17.251,0.800
P03_10,P03,102.769,1.713,59.940,1920x1080,41,0,0,41,11,13,8,13,23.937,0.558
P03_101,P03,852.960,14.216,50.000,1920x1080,351,0,0,351,56,72,30,45,24.690,0.879
P03_102,P03,168.800,2.813,50.000,1920x1080,84,0,0,84,20,31,14,24,29.858,0.783
P03_103,P03,1668.320,27.805,50.000,1920x1080,0,0,657,0,0,0,0,0,0.000,0.000
P03_104,P03,411.160,6.853,50.000,1920x1080,0,0,183,0,0,0,0,0,0.000,0.000
P03_105,P03,205.360,3.423,50.000,1920x1080,0,0,96,0,0,0,0,0,0.000,0.000
P03_106,P03,89.020,1.484,50.000,1920x1080,32,0,0,32,14,17,12,14,21.568,0.688
P03_107,P03,254.480,4.241,50.000,1920x1080,109,0,0,109,25,25,20,21,25.699,0.821
P03_108,P03,42.720,0.712,50.000,1920x1080,19,0,0,19,12,5,11,5,26.685,0.827
P03_109,P03,1134.060,18.901,50.000,1920x1080,411,0,0,411,50,64,30,45,21.745,0.924
P03_11,P03,52.636,0.877,59.940,1920x1080,19,0,0,19,10,7,7,6,21.658,0.736
P03_110,P03,18.100,0.302,50.000,1920x1080,14,0,0,14,5,7,4,6,46.409,0.625
P03_111,P03,74.320,1.239,50.000,1920x1080,35,0,0,35,18,15,13,14,28.256,0.714
P03_112,P03,507.960,8.466,50.000,1920x1080,171,0,0,171,37,52,29,40,20.198,0.678
P03_113,P03,148.320,2.472,50.000,1920x1080,62,0,0,62,24,17,19,15,25.081,0.778
P03_114,P03,27.640,0.461,50.000,1920x1080,17,0,0,17,9,10,6,8,36.903,0.667
P03_115,P03,22.220,0.370,50.000,1920x1080,14,0,0,14,10,4,9,4,37.804,0.730
P03_116,P03,57.300,0.955,50.000,1920x1080,31,0,0,31,14,10,11,8,32.461,0.841
P03_117,P03,722.860,12.048,50.000,1920x1080,259,0,0,259,40,44,23,34,21.498,0.891
P03_118,P03,126.120,2.102,50.000,1920x1080,66,0,0,66,14,18,9,12,31.399,0.797
P03_119,P03,672.380,11.206,50.000,1920x1080,211,0,0,211,29,42,19,31,18.829,0.800
P03_12,P03,21.572,0.360,59.940,1920x1080,7,0,0,7,5,6,5,6,19.470,0.426
P03_120,P03,814.680,13.578,50.000,1920x1080,256,0,0,256,49,50,30,37,18.854,0.826
P03_121,P03,388.340,6.472,50.000,1920x1080,68,0,0,68,25,22,16,16,10.506,0.920
P03_122,P03,38.120,0.635,50.000,1920x1080,12,0,0,12,10,4,10,4,18.888,0.703
P03_123,P03,319.140,5.319,50.000,1920x1080,98,0,0,98,30,26,20,20,18.425,0.822
P03_13,P03,55.973,0.933,59.940,1920x1080,21,0,0,21,11,4,7,4,22.511,0.625
P03_14,P03,260.076,4.335,59.940,1920x1080,43,0,0,43,16,14,11,14,9.920,0.844
P03_15,P03,10.477,0.175,59.940,1920x1080,3,0,0,3,3,2,3,2,17.180,0.338
P03_16,P03,271.688,4.528,59.940,1920x1080,39,0,0,39,19,12,15,12,8.613,0.550
P03_17,P03,148.849,2.481,59.940,1920x1080,25,0,0,25,13,13,7,11,10.077,0.708
P03_18,P03,24.224,0.404,59.940,1920x1080,8,0,0,8,7,4,7,4,19.815,0.792
P03_19,P03,550.350,9.172,59.940,1920x1080,168,0,0,168,23,32,17,28,18.316,0.743
P03_20,P03,360.610,6.010,59.940,1920x1080,74,0,0,74,25,18,16,18,12.312,0.799
P03_21,P03,31.899,0.532,59.940,1920x1080,0,13,0,13,6,4,5,4,24.453,0.576
P03_22,P03,61.345,1.022,59.940,1920x1080,0,26,0,26,7,10,5,10,25.430,0.622
P03_23,P03,509.642,8.494,59.940,1920x1080,0,125,0,125,28,26,23,25,14.716,0.587
P03_24,P03,821.788,13.696,59.940,1920x1080,0,136,0,136,23,35,19,31,9.930,0.640
P03_25,P03,37.187,0.620,59.940,1920x1080,0,16,0,16,11,5,9,5,25.815,0.572
P03_26,P03,11.128,0.185,59.940,1920x1080,0,4,0,4,4,3,4,3,21.568,0.836
P03_27,P03,97.147,1.619,59.940,1920x1080,27,0,0,27,16,8,14,8,16.676,0.786
P03_28,P03,85.535,1.426,59.940,1920x1080,41,0,0,41,13,8,11,7,28.760,0.708
P04_01,P04,1154.773,19.246,59.940,1920x1080,262,0,0,262,56,49,35,41,13.613,0.807
P04_02,P04,1437.622,23.960,59.940,1920x1080,329,0,0,329,58,60,28,41,13.731,0.822
P04_03,P04,801.818,13.364,59.940,1920x1080,218,0,0,218,41,57,27,42,16.313,0.795
P04_04,P04,858.141,14.302,59.940,1920x1080,152,0,0,152,31,35,21,30,10.628,0.792
P04_05,P04,2068.701,34.478,59.940,1920x1080,309,0,0,309,56,66,31,48,8.962,0.704
P04_06,P04,788.254,13.138,59.940,1920x1080,117,0,0,117,29,34,24,32,8.906,0.754
P04_07,P04,122.956,2.049,59.940,1920x1080,29,0,0,29,12,14,8,13,14.151,0.865
P04_08,P04,82.683,1.378,59.940,1920x1080,20,0,0,20,9,11,7,10,14.513,0.833
P04_09,P04,411.378,6.856,59.940,1920x1080,35,0,0,35,13,18,8,17,5.105,0.668
P04_10,P04,1141.760,19.029,59.940,1920x1080,106,0,0,106,32,33,18,29,5.570,0.776
P04_101,P04,549.480,9.158,50.000,1920x1080,241,0,0,241,44,36,32,33,26.316,0.850
P04_102,P04,155.320,2.589,50.000,1920x1080,63,0,0,63,12,23,11,23,24.337,0.702
P04_103,P04,67.220,1.120,50.000,1920x1080,39,0,0,39,10,7,7,7,34.811,0.824
P04_104,P04,684.700,11.412,50.000,1920x1080,294,0,0,294,50,53,30,41,25.763,0.825
P04_105,P04,1882.400,31.373,50.000,1920x1080,0,0,675,0,0,0,0,0,0.000,0.000
P04_106,P04,253.300,4.222,50.000,1920x1080,115,0,0,115,42,24,28,20,27.240,0.916
P04_107,P04,1483.720,24.729,50.000,1920x1080,940,0,0,940,114,43,44,31,38.013,0.979
P04_108,P04,179.640,2.994,50.000,1920x1080,101,0,0,101,28,40,21,30,33.734,0.828
P04_109,P04,980.540,16.342,50.000,1920x1080,538,0,0,538,92,88,46,50,32.921,0.990
P04_11,P04,241.358,4.023,59.940,1920x1080,25,0,0,25,14,9,12,9,6.215,0.899
P04_110,P04,722.360,12.039,50.000,1920x1080,401,0,0,401,71,70,37,47,33.307,0.859
P04_111,P04,155.080,2.585,50.000,1920x1080,69,0,0,69,17,15,14,15,26.696,0.966
P04_112,P04,491.220,8.187,50.000,1920x1080,257,0,0,257,49,42,32,30,31.391,0.898
P04_113,P04,1182.460,19.708,50.000,1920x1080,517,0,0,517,85,99,45,61,26.233,0.819
P04_114,P04,160.040,2.667,50.000,1920x1080,84,0,0,84,36,25,26,20,31.492,0.834
P04_115,P04,258.300,4.305,50.000,1920x1080,133,0,0,133,39,43,26,29,30.894,0.887
P04_116,P04,573.640,9.561,50.000,1920x1080,223,0,0,223,49,49,31,31,23.325,1.045
P04_117,P04,335.080,5.585,50.000,1920x1080,168,0,0,168,43,22,28,13,30.082,1.088
P04_118,P04,148.600,2.477,50.000,1920x1080,54,0,0,54,24,26,17,24,21.803,0.944
P04_119,P04,851.020,14.184,50.000,1920x1080,288,0,0,288,74,70,43,42,20.305,0.881
P04_12,P04,160.627,2.677,59.940,1920x1080,16,0,0,16,9,8,8,8,5.977,0.664
P04_120,P04,834.620,13.910,50.000,1920x1080,376,0,0,376,70,64,39,38,27.030,0.969
P04_121,P04,1693.220,28.220,50.000,1920x1080,717,0,0,717,122,89,51,51,25.407,0.921
P04_122,P04,222.880,3.715,50.000,1920x1080,0,0,99,0,0,0,0,0,0.000,0.000
P04_123,P04,1301.320,21.689,50.000,1920x1080,0,0,690,0,0,0,0,0,0.000,0.000
P04_13,P04,314.264,5.238,59.940,1920x1080,41,0,0,41,17,18,15,18,7.828,0.783
P04_14,P04,87.704,1.462,59.940,1920x1080,9,0,0,9,5,2,5,2,6.157,0.675
P04_15,P04,24.858,0.414,59.940,1920x1080,1,0,0,1,1,1,1,1,2.414,0.276
P04_16,P04,217.033,3.617,59.940,1920x1080,43,0,0,43,18,18,15,16,11.888,0.761
P04_17,P04,147.781,2.463,59.940,1920x1080,22,0,0,22,11,6,11,6,8.932,0.729
P04_18,P04,124.791,2.080,59.940,1920x1080,26,0,0,26,14,14,13,14,12.501,0.909
P04_19,P04,15.515,0.259,59.940,1920x1080,5,0,0,5,5,3,5,3,19.336,0.844
P04_20,P04,92.142,1.536,59.940,1920x1080,13,0,0,13,7,9,7,8,8.465,0.535
P04_21,P04,197.147,3.286,59.940,1920x1080,24,0,0,24,10,14,9,13,7.304,0.782
P04_22,P04,171.371,2.856,59.940,1920x1080,22,0,0,22,11,15,10,11,7.703,0.635
P04_23,P04,998.648,16.644,59.940,1920x1080,93,0,0,93,25,30,19,26,5.588,0.759
P04_24,P04,502.052,8.368,59.940,1920x1080,0,64,0,64,24,25,19,24,7.649,0.776
P04_25,P04,381.514,6.359,59.940,1920x1080,0,27,0,27,13,13,12,13,4.246,0.797
P04_26,P04,36.887,0.615,59.940,1920x1080,0,3,0,3,3,2,3,2,4.880,0.518
P04_27,P04,104.821,1.747,59.940,1920x1080,0,11,0,11,5,3,3,2,6.296,0.467
P04_28,P04,158.492,2.642,59.940,1920x1080,0,25,0,25,15,10,14,9,9.464,0.782
P04_29,P04,425.408,7.090,59.940,1920x1080,0,61,0,61,22,36,18,31,8.603,0.694
P04_30,P04,312.696,5.212,59.940,1920x1080,0,50,0,50,14,20,11,20,9.594,0.790
P04_31,P04,825.458,13.758,59.940,1920x1080,0,113,0,113,39,46,25,41,8.214,0.775
P04_32,P04,53.537,0.892,59.940,1920x1080,0,7,0,7,7,5,6,5,7.845,0.682
P04_33,P04,184.101,3.068,59.940,1920x1080,0,21,0,21,12,12,10,11,6.844,0.738
P05_01,P05,365.765,6.096,59.940,1920x1080,49,0,0,49,19,22,15,17,8.038,0.307
P05_02,P05,338.455,5.641,59.940,1920x1080,56,0,0,56,19,20,15,16,9.927,0.449
P05_03,P05,1033.165,17.219,59.940,1920x1080,163,0,0,163,33,41,19,30,9.466,0.686
P05_04,P05,388.421,6.474,59.940,1920x1080,60,0,0,60,17,24,12,19,9.268,0.382
P05_05,P05,155.672,2.595,59.940,1920x1080,30,0,0,30,11,16,9,13,11.563,0.384
P05_06,P05,310.944,5.182,59.940,1920x1080,38,0,0,38,18,18,15,15,7.333,0.295
P05_07,P05,801.868,13.364,59.940,1920x1080,0,111,0,111,25,24,20,19,8.306,0.497
P05_08,P05,1280.597,21.343,59.940,1920x1080,139,0,0,139,23,38,15,27,6.513,0.723
P05_09,P05,421.104,7.018,59.940,1920x1080,0,66,0,66,21,28,15,24,9.404,0.666
P06_01,P06,90.440,1.507,59.940,1920x1080,23,0,0,23,9,8,7,8,15.259,0.650
P06_02,P06,13.947,0.232,59.940,1920x1080,6,0,0,6,5,4,5,3,25.812,0.562
P06_03,P06,686.069,11.434,59.940,1920x1080,128,0,0,128,27,21,18,20,11.194,0.938
P06_05,P06,1444.278,24.071,59.940,1920x1080,224,0,0,224,33,37,25,34,9.306,0.834
P06_07,P06,1061.928,17.699,59.940,1920x1080,256,0,0,256,44,43,26,38,14.464,0.912
P06_08,P06,30.664,0.511,59.940,1920x1080,6,0,0,6,3,6,3,6,11.740,0.624
P06_09,P06,1344.779,22.413,59.940,1920x1080,178,0,0,178,31,30,20,23,7.942,0.727
P06_10,P06,242.976,4.050,59.940,1920x1080,0,60,0,60,18,17,15,17,14.816,0.755
P06_101,P06,1859.100,30.985,50.000,1920x1080,422,0,0,422,44,52,29,46,13.619,0.852
P06_102,P06,733.220,12.220,50.000,1920x1080,129,0,0,129,34,27,24,27,10.556,0.834
P06_103,P06,839.640,13.994,50.000,1920x1080,177,0,0,177,29,31,21,30,12.648,0.667
P06_104,P06,152.420,2.540,50.000,1920x1080,37,0,0,37,18,10,15,10,14.565,0.779
P06_105,P06,107.740,1.796,50.000,1920x1080,29,0,0,29,13,11,12,11,16.150,0.708
P06_106,P06,172.560,2.876,50.000,1920x1080,53,0,0,53,21,20,16,19,18.428,0.814
P06_107,P06,291.280,4.855,50.000,1920x1080,64,0,0,64,22,21,19,21,13.183,0.883
P06_108,P06,728.700,12.145,50.000,1920x1080,171,0,0,171,40,38,31,36,14.080,0.777
P06_109,P06,38.420,0.640,50.000,1920x1080,10,0,0,10,8,4,8,4,15.617,0.694
P06_11,P06,76.960,1.283,59.940,1920x1080,0,23,0,23,12,9,10,9,17.931,0.785
P06_110,P06,76.320,1.272,50.000,1920x1080,15,0,0,15,8,6,7,6,11.792,0.887
P06_111,P06,851.080,14.185,50.000,1920x1080,0,0,179,0,0,0,0,0,0.000,0.000
P06_112,P06,100.900,1.682,50.000,1920x1080,0,0,30,0,0,0,0,0,0.000,0.000
P06_113,P06,309.340,5.156,50.000,1920x1080,122,0,0,122,24,26,19,26,23.663,0.832
P06_12,P06,193.944,3.232,59.940,1920x1080,0,30,0,30,14,10,11,9,9.281,0.442
P06_13,P06,240.373,4.006,59.940,1920x1080,0,63,0,63,22,15,13,15,15.726,0.902
P06_14,P06,100.717,1.679,59.940,1920x1080,0,32,0,32,9,11,8,11,19.063,0.764
P07_01,P07,109.126,1.819,59.940,1920x1080,15,0,0,15,10,10,7,9,8.247,0.557
P07_02,P07,111.895,1.865,59.940,1920x1080,15,0,0,15,6,5,4,4,8.043,0.912
P07_03,P07,262.729,4.379,59.940,1920x1080,31,0,0,31,15,10,11,10,7.080,0.917
P07_04,P07,825.208,13.753,59.940,1920x1080,154,0,0,154,38,38,22,32,11.197,0.626
P07_05,P07,209.559,3.493,59.940,1920x1080,34,0,0,34,9,9,7,8,9.735,0.651
P07_06,P07,140.907,2.348,59.940,1920x1080,29,0,0,29,10,10,9,10,12.349,0.701
P07_07,P07,331.414,5.524,59.940,1920x1080,53,0,0,53,14,15,11,15,9.595,0.320
P07_08,P07,173.040,2.884,59.940,1920x1080,25,0,0,25,12,12,10,11,8.669,0.377
P07_09,P07,339.823,5.664,59.940,1920x1080,46,0,0,46,16,10,14,8,8.122,0.497
P07_10,P07,2060.377,34.340,59.940,1920x1080,330,0,0,330,40,48,27,40,9.610,0.550
P07_101,P07,481.100,8.018,50.000,1920x1080,81,0,0,81,17,22,14,22,10.102,0.603
P07_102,P07,205.200,3.420,50.000,1920x1080,60,0,0,60,10,14,8,14,17.544,0.800
P07_103,P07,49.300,0.822,50.000,1920x1080,18,0,0,18,8,8,6,8,21.907,0.577
P07_104,P07,96.980,1.616,50.000,1920x1080,0,0,38,0,0,0,0,0,0.000,0.000
P07_105,P07,46.560,0.776,50.000,1920x1080,0,0,21,0,0,0,0,0,0.000,0.000
P07_106,P07,16.200,0.270,50.000,1920x1080,5,0,0,5,4,3,4,3,18.519,0.302
P07_107,P07,175.960,2.933,50.000,1920x1080,61,0,0,61,16,17,13,17,20.800,0.872
P07_108,P07,306.020,5.100,50.000,1920x1080,0,0,77,0,0,0,0,0,0.000,0.000
P07_109,P07,144.720,2.412,50.000,1920x1080,0,0,39,0,0,0,0,0,0.000,0.000
P07_11,P07,223.256,3.721,59.940,1920x1080,28,0,0,28,11,11,10,11,7.525,0.737
P07_110,P07,260.260,4.338,50.000,1920x1080,85,0,0,85,20,28,16,27,19.596,0.802
P07_111,P07,130.100,2.168,50.000,1920x1080,52,0,0,52,15,14,14,13,23.982,0.846
P07_112,P07,87.340,1.456,50.000,1920x1080,20,0,0,20,9,9,8,9,13.739,0.628
P07_113,P07,524.420,8.740,50.000,1920x1080,171,0,0,171,33,37,23,33,19.564,0.746
P07_114,P07,184.840,3.081,50.000,1920x1080,44,0,0,44,14,13,12,13,14.283,0.592
P07_115,P07,212.400,3.540,50.000,1920x1080,66,0,0,66,20,28,17,27,18.644,0.624
P07_116,P07,86.740,1.446,50.000,1920x1080,31,0,0,31,12,15,9,14,21.443,0.774
P07_117,P07,373.820,6.230,50.000,1920x1080,131,0,0,131,21,26,18,26,21.026,0.874
P07_12,P07,236.019,3.934,59.940,1920x1080,0,43,0,43,9,9,8,9,10.931,0.635
P07_13,P07,60.661,1.011,59.940,1920x1080,0,15,0,15,5,9,5,7,14.837,0.372
P07_14,P07,257.007,4.283,59.940,1920x1080,0,43,0,43,17,16,11,14,10.039,0.426
P07_15,P07,113.347,1.889,59.940,1920x1080,0,17,0,17,9,7,8,7,8.999,0.730
P07_16,P07,163.063,2.718,59.940,1920x1080,0,29,0,29,15,13,13,13,10.671,0.593
P07_17,P07,132.933,2.216,59.940,1920x1080,0,26,0,26,14,8,13,7,11.735,0.770
P07_18,P07,40.557,0.676,59.940,1920x1080,0,14,0,14,7,5,6,5,20.711,0.688
P08_01,P08,615.448,10.257,59.940,1920x1080,156,0,0,156,30,47,19,40,15.208,0.770
P08_02,P08,107.424,1.790,59.940,1920x1080,34,0,0,34,17,19,12,17,18.990,0.873
P08_03,P08,149.966,2.499,59.940,1920x1080,34,0,0,34,16,19,12,15,13.603,0.843
P08_04,P08,205.222,3.420,59.940,1920x1080,66,0,0,66,12,20,10,17,19.296,0.880
P08_05,P08,1753.769,29.229,59.940,1920x1080,371,0,0,371,67,101,35,65,12.693,0.803
P08_06,P08,486.636,8.111,59.940,1920x1080,122,0,0,122,30,39,17,35,15.042,0.828
P08_07,P08,24.007,0.400,59.940,1920x1080,9,0,0,9,7,5,6,5,22.493,0.853
P08_08,P08,144.328,2.405,59.940,1920x1080,36,0,0,36,17,22,13,17,14.966,0.751
P08_09,P08,620.487,10.341,59.940,1920x1080,0,147,0,147,40,42,26,36,14.215,0.812
P08_10,P08,242.426,4.040,59.940,1920x1080,0,63,0,63,26,25,15,22,15.592,0.871
P08_11,P08,195.445,3.257,59.940,1920x1080,51,0,0,51,19,21,15,15,15.657,0.838
P08_12,P08,33.734,0.562,59.940,1920x1080,8,0,0,8,8,7,8,5,14.229,0.673
P08_13,P08,24.174,0.403,59.940,1920x1080,4,0,0,4,4,4,3,4,9.928,0.630
P08_14,P08,151.918,2.532,59.940,1920x1080,0,43,0,43,22,21,16,19,16.983,0.865
P08_15,P08,563.313,9.389,59.940,1920x1080,0,133,0,133,39,47,23,34,14.166,0.864
P08_16,P08,589.122,9.819,59.940,1920x1080,0,120,0,120,41,37,26,34,12.222,0.790
P08_17,P08,586.102,9.768,59.940,1920x1080,0,120,0,120,32,42,23,33,12.285,0.769
P08_18,P08,499.649,8.327,59.940,1920x1080,113,0,0,113,26,36,17,31,13.570,0.828
P08_19,P08,137.587,2.293,59.940,1920x1080,25,0,0,25,16,19,15,15,10.902,0.491
P08_20,P08,207.474,3.458,59.940,1920x1080,40,0,0,40,17,15,11,13,11.568,0.773
